Jornal,Coluna,Palavra,Data,Data formatada,Metaforico,Título,,Link,,stringado
Folha de S. Paulo,Ilustrada,Esquizofrenia,04 de janeiro de 2001,04/01/2001,Não,Tampas e panelas de pressão,"""",https://www1.folha.uol.com.br/fsp/ilustrad/fq0401200121.htm,""",","""https://www1.folha.uol.com.br/fsp/ilustrad/fq0401200121.htm"","
Folha de S. Paulo,Mundo,Esquizofrenia,09/01/2001,09/01/2001,Não,OMS diz quer 400 milhões de pessoas sofrem de transtorno mental,"""",https://www1.folha.uol.com.br/folha/mundo/ult94u16986.shtml?origin=folha,""",","""https://www1.folha.uol.com.br/folha/mundo/ult94u16986.shtml?origin=folha"","
Folha de S. Paulo,Ilustrada,Esquizofrenia e esquizofrênico,10 de janeiro de 2001,10/01/2001,Não,Traços de esquizofrenia,"""",https://www1.folha.uol.com.br/fsp/ilustrad/fq1001200106.htm,""",","""https://www1.folha.uol.com.br/fsp/ilustrad/fq1001200106.htm"","
Folha de S. Paulo,Ciência,Esquizofrenia (8),16/01/2001,16/01/2001,Não,Israelenses descobrem gene que indica propensão à esquizofrenia,"""",https://www1.folha.uol.com.br/folha/ciencia/ult306u2066.shtml?origin=folha,""",","""https://www1.folha.uol.com.br/folha/ciencia/ult306u2066.shtml?origin=folha"","
Folha de S. Paulo,Ciência,Esquizofrenia (9),17/01/01,17/01/2001,Não,Pesquisadores anunciam exame de sangue que detecta esquizofrenia,"""",https://www1.folha.uol.com.br/folha/ciencia/ult306u2071.shtml?origin=folha,""",","""https://www1.folha.uol.com.br/folha/ciencia/ult306u2071.shtml?origin=folha"","
Folha de S. Paulo,Ilustrada,Esquizofrenia,17/01/01,17/01/2001,Não,Filme com Samuel Jackson abre Festival do Cinema Negro nos EUA,"""",https://www1.folha.uol.com.br/folha/ilustrada/ult90u9192.shtml?origin=folha,""",","""https://www1.folha.uol.com.br/folha/ilustrada/ult90u9192.shtml?origin=folha"","
Folha de S. Paulo,Ciência,Esquizofrenia,jan. 17,17/01/2021,Não,Autopercepção está no lado direito do cérebro,"""",https://www1.folha.uol.com.br/folha/ciencia/ult306u2087.shtml?origin=folha,""",","""https://www1.folha.uol.com.br/folha/ciencia/ult306u2087.shtml?origin=folha"","
Folha de S. Paulo,Ciência,Esquizofrenia (3),18 de janeiro de 2001,18/01/2001,Não,Pesquisa pode auxiliar tratamento de esquizofrenia e despersonalização,"""",https://www1.folha.uol.com.br/fsp/ciencia/fe1801200107.htm,""",","""https://www1.folha.uol.com.br/fsp/ciencia/fe1801200107.htm"","
Folha de S. Paulo,Ciência,Esquizofrenia,07/02/01,07/02/2001,Não,Cientistas fazem previsões otimistas sobre avanços até 2005,"""",https://www1.folha.uol.com.br/folha/ciencia/ult306u2418.shtml?origin=folha,""",","""https://www1.folha.uol.com.br/folha/ciencia/ult306u2418.shtml?origin=folha"","
Folha de S. Paulo,Equilibrio,Esquizofrenia,08 de fevereiro de 2001,08/02/2001,Não,Dúvidas: A homeopatia tem uma ação limitada?,"""",https://www1.folha.uol.com.br/fsp/equilibrio/eq0802200113.htm,""",","""https://www1.folha.uol.com.br/fsp/equilibrio/eq0802200113.htm"","
Folha de S. Paulo,Ciência,Esquizofrenia,14/02/01,14/02/2001,Não,Roche e deCODE anunciam avanços na pesquisa sobre esquizofrenia,"""",https://www1.folha.uol.com.br/folha/ciencia/ult306u2546.shtml?origin=folha,""",","""https://www1.folha.uol.com.br/folha/ciencia/ult306u2546.shtml?origin=folha"","
Folha de S. Paulo,Ilustrada,Esquizofrenia,17/02/01,17/02/2001,Não,"""Qorpo Santo"": Livro desencava bobagens do autor","""",https://www1.folha.uol.com.br/folha/ilustrada/ult90u10685.shtml?origin=folha,""",","""https://www1.folha.uol.com.br/folha/ilustrada/ult90u10685.shtml?origin=folha"","
Folha de S. Paulo,Folhateen,Esquizofrenia (2),19 de fevereiro de 2001,19/02/2001,Não,"""Nóia"" persegue jovens há dez anos","""",https://www1.folha.uol.com.br/fsp/folhatee/fm1902200116.htm,""",","""https://www1.folha.uol.com.br/fsp/folhatee/fm1902200116.htm"","
Folha de S. Paulo,Folhateen,Esquizofrenia,19 de fevereiro de 2001,19/02/2001,Não,"O PERFIL DA ""NÓIA""","""",https://www1.folha.uol.com.br/fsp/folhatee/fm1902200117.htm,""",","""https://www1.folha.uol.com.br/fsp/folhatee/fm1902200117.htm"","
Folha de S. Paulo,Ciência,Esquizofrenia,22/02/01,22/02/2001,Não,Computador detecta sinais precoces de esquizofrenia,"""",https://www1.folha.uol.com.br/folha/ciencia/ult306u2709.shtml?origin=folha,""",","""https://www1.folha.uol.com.br/folha/ciencia/ult306u2709.shtml?origin=folha"","
Folha de S. Paulo,Ciência,Esquizofrenia,14 de março de 2001,14/03/2001,Não,Alucinógeno pode tratar doença mental,"""",https://www1.folha.uol.com.br/fsp/ciencia/fe1403200101.htm,""",","""https://www1.folha.uol.com.br/fsp/ciencia/fe1403200101.htm"","
Folha de S. Paulo,Ciência,Esquizofrenia (7),20/03/01,20/03/2001,Não,Cientistas alemães descobrem gene da esquizofrenia,"""",https://www1.folha.uol.com.br/folha/ciencia/ult306u3019.shtml?origin=folha,""",","""https://www1.folha.uol.com.br/folha/ciencia/ult306u3019.shtml?origin=folha"","
Folha de S. Paulo,Ciência,Esquizofrenia (2),21 de março de 2001,21/03/2001,Não,Alemães encontram gene ligado à esquizofrenia,"""",https://www1.folha.uol.com.br/fsp/ciencia/fe2103200105.htm,""",","""https://www1.folha.uol.com.br/fsp/ciencia/fe2103200105.htm"","
Folha de S. Paulo,+mais!,Esquizofrenia,25 de março de 2001,25/03/2001,Não,A morte do determinismo,"""",https://www1.folha.uol.com.br/fsp/mais/fs2503200110.htm,""",","""https://www1.folha.uol.com.br/fsp/mais/fs2503200110.htm"","
Folha de S. Paulo,Ilustrada,Esquizofrenia,29 de março de 2001,29/03/2001,Não,Acre leva ao palco delírio da doméstica Stella do Patrocínio,"""",http://www1.folha.uol.com.br/fsp/ilustrad/fq2903200109.htm,""",","""http://www1.folha.uol.com.br/fsp/ilustrad/fq2903200109.htm"","
Folha de S. Paulo,Ilustrada,Esquizofrenia,07 de abril de 2001,07/04/2001,Não,Discovery Health celebra o Dia Mundial da Saúde,"""",http://www1.folha.uol.com.br/fsp/ilustrad/fq0704200102.htm,""",","""http://www1.folha.uol.com.br/fsp/ilustrad/fq0704200102.htm"","
Folha de S. Paulo,+mais!,Esquizofrenia (2),08 de abril de 2001,08/04/2001,Não,O discurso da loucura,"""",http://www1.folha.uol.com.br/fsp/mais/fs0804200111.htm,""",","""http://www1.folha.uol.com.br/fsp/mais/fs0804200111.htm"","
Folha de S. Paulo,Ciência,Esquizofrenia (6),10/04/2001,10/04/2001,Não,"Vírus pode agravar esquizofrenia, dizem pesquisadores","""",http://www1.folha.uol.com.br/folha/ciencia/ult306u3264.shtml,""",","""http://www1.folha.uol.com.br/folha/ciencia/ult306u3264.shtml"","
Folha de S. Paulo,Ciência,Esquizofrenia (12),11 de abril de 2001,11/04/2001,Não,Estudo relaciona esquizofrenia com vírus,"""",http://www1.folha.uol.com.br/fsp/ciencia/fe1104200101.htm,""",","""http://www1.folha.uol.com.br/fsp/ciencia/fe1104200101.htm"","
Folha de S. Paulo,Ciência,Esquizofrenia,25/04/01,25/04/2001,Não,Federal de Pernambuco promove simpósio sobre cérebro,"""",http://www1.folha.uol.com.br/folha/ciencia/ult306u3428.shtml,""",","""http://www1.folha.uol.com.br/folha/ciencia/ult306u3428.shtml"","
Folha de S. Paulo,Mundo,Esquizofrenia,11 de maio de 2001,11/05/2001,Não,Alan García é suspeito de ser esquizofrênico,"""",https://www1.folha.uol.com.br/fsp/mundo/ft1105200113.htm,""",","""https://www1.folha.uol.com.br/fsp/mundo/ft1105200113.htm"","
Folha de S. Paulo,Ciência,Esquizofrenia,13 de maio de 2001,13/05/2001,Não,Gene do alcoolismo,"""",https://www1.folha.uol.com.br/fsp/ciencia/fe1305200108.htm,""",","""https://www1.folha.uol.com.br/fsp/ciencia/fe1305200108.htm"","
Folha de S. Paulo,Ciência,Esquizofrenia,"domingo, 13 de maio de 2001",13/05/2001,Não,Cérebros para viagem,"""",https://www1.folha.uol.com.br/fsp/ciencia/fe1305200104.htm,""",","""https://www1.folha.uol.com.br/fsp/ciencia/fe1305200104.htm"","
Folha de S. Paulo,Mundo,Esquizofrenia,17 de maio de 2001,17/05/2001,Não,Execução de doente mental é cancelada no último minuto,"""",https://www1.folha.uol.com.br/fsp/mundo/ft1705200108.htm,""",","""https://www1.folha.uol.com.br/fsp/mundo/ft1705200108.htm"","
Folha de S. Paulo,Reuters,"Esquizofrenia, esquizofrênico (3)",15/06/01,15/06/2001,Não,"Apesar de protestos, EUA executam esquizofrênico","""",https://www1.folha.uol.com.br/folha/reuters/ult112u2519.shtml,""",","""https://www1.folha.uol.com.br/folha/reuters/ult112u2519.shtml"","
Folha de S. Paulo,Equilibrio,Esquizofrenia,05 de julho de 2001,05/07/2001,Não,Lacrar o estômago para não morrer pela boca,"""",https://www1.folha.uol.com.br/fsp/equilibrio/eq0507200113.htm,""",","""https://www1.folha.uol.com.br/fsp/equilibrio/eq0507200113.htm"","
Folha de S. Paulo,Equilíbrio e Saúde,Esquizofrenia,05/07/2001,05/07/2001,Não,Cirurgias dão esperança contra obesidade mórbida,"""",https://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u194.shtml,""",","""https://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u194.shtml"","
Folha de S. Paulo,Equilibrio,Esquizofrenia,12 de julho de 2001,12/07/2001,Não,Fasano ensina culinária a pacientes de ONG,"""",https://www1.folha.uol.com.br/fsp/equilibrio/eq1207200115.htm,""",","""https://www1.folha.uol.com.br/fsp/equilibrio/eq1207200115.htm"","
Folha de S. Paulo,Reuters,Esquizofrenia (4),19/07/01,19/07/2001,Não,Novo remédio para esquizofrenia promete menos efeito colateral,"""",https://www1.folha.uol.com.br/folha/reuters/ult112u3660.shtml,""",","""https://www1.folha.uol.com.br/folha/reuters/ult112u3660.shtml"","
Folha de S. Paulo,Equilibrio,Esquizofrenia (5),26 de julho de 2001,26/07/2001,Não,Novo medicamento trata esquizofrenia,"""",https://www1.folha.uol.com.br/fsp/equilibrio/eq2607200103.htm,""",","""https://www1.folha.uol.com.br/fsp/equilibrio/eq2607200103.htm"","
Folha de S. Paulo,Equilíbrio e Saúde,Esquizofrenia (5),26/07/01,26/07/2001,Não,Chega ao Brasil novo medicamento para tratar esquizofrenia,"""",https://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u240.shtml,""",","""https://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u240.shtml"","
Folha de S. Paulo,Reuters,"Esquizofrenia, esquizofrênica",06/08/01,06/08/2001,Não,Incêndio em asilo de doentes mentais mata 25 na Índia,"""",https://www1.folha.uol.com.br/folha/reuters/ult112u4288.shtml,""",","""https://www1.folha.uol.com.br/folha/reuters/ult112u4288.shtml"","
Folha de S. Paulo,Cotidiano,Esquizofrenia,12 de agosto de 2001,12/08/2001,Não,"Família é ""rede"" de proteção","""",https://www1.folha.uol.com.br/fsp/cotidian/ff1208200128.htm,""",","""https://www1.folha.uol.com.br/fsp/cotidian/ff1208200128.htm"","
Folha de S. Paulo,Cotidiano,Esquizofrenia (5),12 de agosto de 2001,12/08/2001,Não,Esquizofrenia é líder em gastos,"""",https://www1.folha.uol.com.br/fsp/cotidian/ff1208200127.htm,""",","""https://www1.folha.uol.com.br/fsp/cotidian/ff1208200127.htm"","
Folha de S. Paulo,Cotidiano,Esquizofrenia (3),12 de agosto de 2001,12/08/2001,Não,"Problema mental pode ser ""camuflado""","""",https://www1.folha.uol.com.br/fsp/cotidian/ff1208200126.htm,""",","""https://www1.folha.uol.com.br/fsp/cotidian/ff1208200126.htm"","
Folha de S. Paulo,Equilíbrio e Saúde,Esquizofrenia (4),12/08/01,12/08/2001,Não,"Esquizofrenia pode ser ""camuflada""","""",https://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u300.shtml,""",","""https://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u300.shtml"","
Folha de S. Paulo,Equilíbrio e Saúde,"Esquizofrenia, esquizofrênicos",12/08/01,12/08/2001,Não,"Família deve agir como ""rede"" de proteção para esquizofrênicos","""",https://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u302.shtml,""",","""https://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u302.shtml"","
Folha de S. Paulo,Ciência,Esquizofrenia (2),13/08/01,13/08/2001,Não,Remédios para malária e esquizofrenia são usados contra vaca louca,"""",https://www1.folha.uol.com.br/folha/ciencia/ult306u4592.shtml,""",","""https://www1.folha.uol.com.br/folha/ciencia/ult306u4592.shtml"","
Folha de S. Paulo,Reuters,Esquizofrenia,14/08/01,14/08/2001,Não,Cientistas ainda não estão confiantes em cura do mal da vaca louca,"""",https://www1.folha.uol.com.br/folha/reuters/ult112u4627.shtml,""",","""https://www1.folha.uol.com.br/folha/reuters/ult112u4627.shtml"","
Folha de S. Paulo,Ciência,Esquizofrenia,15 de agosto de 2001,15/08/2001,Não,""" Terapia contra vaca louca será testada no homem""","""",https://www1.folha.uol.com.br/fsp/ciencia/fe1508200104.htm,""",","""https://www1.folha.uol.com.br/fsp/ciencia/fe1508200104.htm"","
Folha de S. Paulo,Ciência,Esquizofrenia,16/08/01,16/08/2001,Não,Combate à variação humana do mal da vaca louca mobiliza cientistas,"""",https://www1.folha.uol.com.br/folha/ciencia/ult306u4618.shtml,""",","""https://www1.folha.uol.com.br/folha/ciencia/ult306u4618.shtml"","
Folha de S. Paulo,Ciência,Esquizofrenia (3),25/09/01,25/09/2001,Não,Estudo mapeia danos cerebrais causados pela esquizofrenia,"""",https://www1.folha.uol.com.br/folha/ciencia/ult306u4930.shtml,""",","""https://www1.folha.uol.com.br/folha/ciencia/ult306u4930.shtml"","
Folha de S. Paulo,Equilibrio,Esquizofrenia,18 de outubro de 2001,18/10/2001,Não,Mentes perturbadas,"""",https://www1.folha.uol.com.br/fsp/equilibrio/eq1810200106.htm,""",","""https://www1.folha.uol.com.br/fsp/equilibrio/eq1810200106.htm"","
Folha de S. Paulo,BBC,Esquizofrenia,23/10/01,23/10/2001,Não,Autoridades de saúde pedem desculpas a George Harrison,"""",https://www1.folha.uol.com.br/folha/bbc/ult272u6836.shtml,""",","""https://www1.folha.uol.com.br/folha/bbc/ult272u6836.shtml"","
Folha de S. Paulo,Ciência,Esquizofrenia (4),05 de novembro de 2001,05/11/2001,Não,Recomeça caça a genes do comportamento,"""",https://www1.folha.uol.com.br/fsp/ciencia/fe0511200101.htm,""",","""https://www1.folha.uol.com.br/fsp/ciencia/fe0511200101.htm"","
Folha de S. Paulo,Ilustrada,"Esquizofrenia, esquizofrênico",07 de novembro de 2001,07/11/2001,Não,Guitarra lendária de Lanny Gordin volta em CD,"""",https://www1.folha.uol.com.br/fsp/ilustrad/fq0711200113.htm,""",","""https://www1.folha.uol.com.br/fsp/ilustrad/fq0711200113.htm"","
Folha de S. Paulo,Ciência,Esquizofrenia,12/11/2001,12/11/2001,Não,"Cuidado intensivo não reduz violência em psicóticos, diz estudo","""",https://www1.folha.uol.com.br/folha/ciencia/ult306u5294.shtml,""",","""https://www1.folha.uol.com.br/folha/ciencia/ult306u5294.shtml"","
Folha de S. Paulo,Ilustrada,"Esquizofrenia, esquizofrênica",17 de novembro de 2001,17/11/2001,Não,O falatório que virou poesia,"""",https://www1.folha.uol.com.br/fsp/ilustrad/fq1711200121.htm,""",","""https://www1.folha.uol.com.br/fsp/ilustrad/fq1711200121.htm"","
Folha de S. Paulo,Ilustrada,Esquizofrenia,29/11/01,29/11/2001,Não,Lanny Gordin se apresenta no MAM depois de quase 30 anos,"""",https://www1.folha.uol.com.br/folha/ilustrada/ult90u19406.shtml,""",","""https://www1.folha.uol.com.br/folha/ilustrada/ult90u19406.shtml"","
Folha de S. Paulo,Mundo,"Esquizofrenia, esquizofrênico",15 de março de 2003,15/03/2003,Não,Francês é acusado de matar a mãe a marteladas,"""",https://www1.folha.uol.com.br/folha/mundo/ult94u34454.shtml,""",","""https://www1.folha.uol.com.br/folha/mundo/ult94u34454.shtml"","
Folha de S. Paulo,Ciência,Esquizofrenia (5),10 de dezembro de 2001,10/12/2001,Não,Geneticistas fecham cerco à esquizofrenia,"""",https://www1.folha.uol.com.br/fsp/ciencia/fe1012200101.htm,""",","""https://www1.folha.uol.com.br/fsp/ciencia/fe1012200101.htm"","
Folha de S. Paulo,Opinião,Esquizofrenia,12 de dezembro de 2001,12/12/2001,Não,Novos rumos na saúde mental,"""",https://www1.folha.uol.com.br/fsp/opiniao/fz1212200110.htm,""",","""https://www1.folha.uol.com.br/fsp/opiniao/fz1212200110.htm"","
Folha de S. Paulo,Equilíbrio e Saúde,Esquizofrenia (3),15/12/2001,15/12/2001,Não,Unifesp cria site para disseminar informações sobre esquizofrenia,"""",https://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u691.shtml,""",","""https://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u691.shtml"","
Folha de S. Paulo,Cotidiano,Esquizofrenia (9),30 de dezembro de 2001,30/12/2001,Não,Identificação precoce pode evitar doença,"""",https://www1.folha.uol.com.br/fsp/cotidian/ff3012200118.htm,""",","""https://www1.folha.uol.com.br/fsp/cotidian/ff3012200118.htm"","
Folha de S. Paulo,Reuters,"Esquizofrenia (2), esquizofrênico",02/01/02,02/01/2002,Não,"Novo medicamento adia recaídas de esquizofrênico, conclui estudo","""",https://www1.folha.uol.com.br/folha/reuters/ult112u10188.shtml,""",","""https://www1.folha.uol.com.br/folha/reuters/ult112u10188.shtml"","
Folha de S. Paulo,Reuters,Esquizofrenia,02/01/02,02/01/2002,Não,Diretor italiano finaliza filme sobre paciente-amante de Jung,"""",https://www1.folha.uol.com.br/folha/reuters/ult112u10191.shtml,""",","""https://www1.folha.uol.com.br/folha/reuters/ult112u10191.shtml"","
Folha de S. Paulo,Ilustrada,"Esquizofrenia, esquizofrênico",13 de abril de 2001,13/04/2001,Não,"""A Cela"" exprime perversão cultural","""",http://www1.folha.uol.com.br/fsp/ilustrad/fq1304200114.htm,""",","""http://www1.folha.uol.com.br/fsp/ilustrad/fq1304200114.htm"","
Folha de S. Paulo,Reuters,Esquizofrenia,12/01/02,12/01/2002,Não,"Críticos norte-americanos aclamam filme ""A Beautiful Mind""","""",https://www1.folha.uol.com.br/folha/reuters/ult112u10587.shtml,""",","""https://www1.folha.uol.com.br/folha/reuters/ult112u10587.shtml"","
Folha de S. Paulo,Ciência,Esquizofrenia,20 de janeiro de 2002,20/01/2002,Não,A dança das cabeças,"""",https://www1.folha.uol.com.br/fsp/ciencia/fe2001200202.htm,""",","""https://www1.folha.uol.com.br/fsp/ciencia/fe2001200202.htm"","
Folha de S. Paulo,Ilustrada,Esquizofrenia,21/01/02,21/01/2002,Não,Russell Crowe e Sissy Spacek são eleitos melhores atores de drama,"""",https://www1.folha.uol.com.br/folha/ilustrada/ult90u20667.shtml,""",","""https://www1.folha.uol.com.br/folha/ilustrada/ult90u20667.shtml"","
Folha de S. Paulo,Reuters,Esquizofrenia,21/01/02,21/01/2002,Não,"""A Beautiful Mind"" é o maior premiado do Globo de Ouro","""",https://www1.folha.uol.com.br/folha/reuters/ult112u10937.shtml,""",","""https://www1.folha.uol.com.br/folha/reuters/ult112u10937.shtml"","
