Jornal,Link,metaforico,paragrafos_resgatados
Estadão,"https://opiniao.estadao.com.br/noticias/geral,forum-dos-leitores,70002484952",1,"['Como diz o ditado, antes tarde do que nunca, e assim se fez. O TSE afastou das urnas o ex-presidente Lula, claramente incurso na Lei da Ficha Limpa - ironicamente por ele próprio promulgada. Na decisão por 6 x 1, foi vencido o voto, data venia, esquizofrênico do ministro Luiz Edson Fachin (que compõe o STF), o qual, desprezando todas as nossas leis - que ele deveria prestigiar e acatar acima de tudo -, subordinou o País e todas as suas instituições à “recomendação” (aspas necessárias) feita em caráter liminar, contingente, por um obscuro subcomitê da ONU - diga-se, sem jurisdição e sem poder judicante - , órgão constituído por 18 “peritos independentes” (pagos); e desse colegiado (administrativo) apenas dois de seus membros emitiram a tal “recomendação” de manter Lula na disputa. Acrescente-se que o dito subcomitê de Direitos Humanos da ONU não se dispôs, em tempo algum, a ouvir as razões do Estado brasileiro sobre Lula antes de emitir a sua “recomendação” de araque, diga-se, sem poder vinculante. A atitude de verdadeira vassalagem, submissa, do ministro Fachin no sentido de fazer o Brasil abdicar de sua soberania e sobrepor a dita orientação do tal subcomitê a toda a Nação constitui um tapa na cara do Brasil e dos brasileiros, beirando lesa-pátria. Saiba S. Exa. que os brasileiros estão exaustos. Sabem que parcela significativa de seus ganhos sustenta os políticos, que fazem as leis, e os magistrados, que as aplicam. E têm de ir dormir sabendo que um alto magistrado brasileiro entende que, aqui, nada tem valor ante a esdrúxula e intrometida “recomendação” de figuras alienígenas de que 99,9% dos brasileiros jamais ouviram falar. É o fim da picada!']"
Estadão,"https://politica.estadao.com.br/noticias/eleicoes,alvaro-dias-descarta-possibilidade-de-alianca-com-psdb-nas-eleicoes-2018,70002405138",1,"['Sem querer descartar qualquer apoio, Álvaro Dias disse que pode ser considerado o candidato mais ao centro na disputa deste ano. “Eu sou o candidato de uma proposta visível, clara, de rompimento com esse sistema. Eu não sei desenhar bem o que é centro, o que é direita, o que é esquerda, porque há uma esquizofrenia nesse debate. Na verdade, há uma anarquia partidária no Brasil”, comentou. “Eu advogo a tese de que devemos somar, o que há de bom de conteúdo na direita, na esquerda, somar e caminhar adiante. Se isso é ser centro, então eu posso ser carimbado como candidato de centro.”']"
Estadão,"https://politica.estadao.com.br/noticias/eleicoes,guerra-de-foice,70002394076",1,"['O futuro de Ciro Gomes está atrelado ao PT, desde que ele cismou de se colocar como opção de esquerda, mas fez um movimento esquizofrênico: disputava o PT, enquanto soltava cobras e lagartos contra o partido e contra Lula. Agora, disputa o DEM, que pode ser tudo, menos de esquerda. “O que nós temos em comum com o Ciro? Nada!”, resume José Carlos Aleluia (DEM-BA).']"
Estadão,"https://economia.estadao.com.br/noticias/geral,cresce-procura-por-treinamento-de-etica,70002389883",1,"['Entre as companhias que lidam com o poder público, a Lava Jato criou uma espécie de esquizofrenia, que se reflete nas dúvidas durante o treinamento, seja de funcionários do alto ou médio escalões. Os questionamentos são básicos e incluem até que tipo de comida servir num jantar que terá integrantes do governo. “Num dos meus treinamentos, executivos perguntaram se poderiam servir camarão ou se era antiético”, afirma o advogado Kevin Altit, sócio do escritório Mattos Filho.']"
Estadão,https://internacional.estadao.com.br/blogs/fatima-lacerda/politica-e-futebol-as-artimanhas-para-se-manter-no-poder-e-a-habitual-esquizofrenia/,1,"['Política e Futebol, as artimanhas para se manter no poder e a rotineira esquizofrenia alemã', 'Política e Futebol, as artimanhas para se manter no poder e a rotineira esquizofrenia alemã', 'A esquizofrenia alemã, que se alastra por todos os setores da sociedade é que Löw estará sempre associado com a vergonha feita na Rússia, ao mesmo tempo os alemães têm medo de um novo começo, daquilo que é desconhecido e a torturante pergunta: “']"
Estadão,https://politica.estadao.com.br/blogs/fausto-macedo/a-inseguranca-juridica-sobre-a-presuncao-de-inocencia-no-stf/,1,"['O mandato da ministra encerrará em 11 de setembro e será sucedida pelo ministro Dias Toffoli. Enquanto isso, os jurisdicionados que se socorrem do Supremo assistem a uma verdadeira esquizofrenia jurídica em relação a possibilidade ou não do encarceramento cautelar do réu condenado em segunda instância. Estamos, inequivocamente, diante de um Supremo lotérico!']"
Estadão,"https://opiniao.estadao.com.br/noticias/geral,forum-dos-leitores,70002370672",1,"['O PT é realmente um partido peculiar: ainda acredita que até 15 de agosto - data limite para inscrição de candidaturas - Lula não só será solto, como ainda sairá candidato à Presidência da República e vencerá a eleição. E por conta disso a cúpula do PT nem cogita um plano B. Observadores incautos dariam nome a isto de otimismo. No entanto, esquizofrenia seria o termo mais adequado.']"
Estadão,"https://politica.estadao.com.br/noticias/geral,desinteresse-fatal,70002349707",1,"['Sou da geração que entrou na universidade em 1971 e que viveu uma situação quase esquizofrênica: como torcer para um time tão maravilhoso como o de 1970 se a paixão pelo futebol era vista por nós, estudantes engajados em política, como um alicerce do regime militar? Tínhamos a ideia, por sinal tão arraigada sobretudo nos países comunistas, que a paixão pelo esporte cria identificação com o regime político (a ponto de lhe conferir legitimidade). Portanto, vitórias ou derrotas influenciariam diretamente disputas políticas. Como eleições, por exemplo.']"
Estadão,https://viagem.estadao.com.br/blogs/viagem/bourdain-e-seu-legado-viajante/,1,"['estava no topo dessa minha lista esquizofrênica, onde figuram ainda os cantores Mike Patton e Cumpadi Washigton, o ex-presidente Barack Obama e o goleiro Marcos (Sócrates também esteve nela por muitos anos).']"
Estadão,"https://politica.estadao.com.br/noticias/geral,ordens-e-internet,70003720588",1,"['Na política externa essa “dualidade de mando” criou uma situação esquizofrênica para o principal parceiro comercial brasileiro, a China. Valem os ataques que Bolsonaro reitera nas redes ao regime chinês ou as súplicas dirigidas a Pequim por parte de ministros (como a da Agricultura) e governadores (como o de São Paulo) pela manutenção de laços para garantir exportações e suprimento de insumos para vacinas?']"
