link,metaforico,indice_noticia,paragrafos_resgatados
"https://opiniao.estadao.com.br/noticias/artigos-dos-leitores,forum-dos-leitores,70003709553",1,0,"['Nunca tivemos lideranças governamentais tão esquizofrenicamente inconsequentes como temos agora. Quando estamos tão dependentes nessa pandemia de insumos vindos da China, esse país é acusado sem provas científicas que produziu esse vírus, numa atitude irracional sem precedentes. Urge outras de nossas lideranças corrijam tais irracionais acusações, para que não venhamos a sofrer maiores consequências dessa forma trágica de governar uma Nação, como agora estamos vivenciando.']"
"https://opiniao.estadao.com.br/noticias/artigos-dos-leitores,forum-dos-leitores,70003681598",1,1,"['(13/4, A3) faz correta análise da deplorável conduta de Jair Bolsonaro, dono de linguagem “chula”, que seus seguidores “se esforçam para qualificar” como “autêntica”, já que ele fala o que “pensa”. Será que pensa? De fato, ninguém mais fica perplexo com suas “grosserias” e “obscenidades”. Como indicam as pesquisas, o justo “desprezo” leva à sua derrocada na preferência do eleitorado. Um presidente sem respeito à vida dos brasileiros, que zomba da pandemia, já com mais de 360 mil mortos, incapaz de reconhecer seus erros, autoritário, que se diverte afrontando a Nação, é constrangedor. Sem limites para suas excrescências, de fato nenhum outro “presidente digno no cargo” faria o que fez Bolsonaro ao pressionar o senador Jorge Kajuru para ampliar as investigações da CPI da covid, incluindo governadores e prefeitos, além de incentivá-lo a trabalhar pelo impeachment de ministros do STF. Esquizofrenia pura...']"
"https://opiniao.estadao.com.br/noticias/espaco-aberto,aprendiz-de-feiticeiro,70003668660",1,2,"['A esquizofrenia se faz presente no governo: de um lado, caudatário do Centrão, entrega a Secretaria de Governo para inexpressiva deputada gerenciar emendas e cargos; de outro, temeroso da ingerência do Centrão, reforça com amigos a linha repressiva: delegado ligado à bancada da bala no Ministério da Justiça, o disciplinado André Mendonça na AGU e Braga Netto na Defesa. Com tal time e a possível mobilização de polícias militares pelo governo federal, concretiza-se o risco de caminho antidemocrático.']"
"https://cultura.estadao.com.br/noticias/literatura,em-novo-livro-simon-schwartzman-articula-memorias-e-busca-novos-caminhos-para-o-brasil,70003644612",1,3,"['""Durante meus dois anos\xa0em Berkeley, não\xa0conheci um\xa0americano sequer que pertencesse ao Partido Republicano.\xa0Mas Ronald Reagan foi eleito governador da Califórnia em 1967,\xa0e é dele a assinatura que tenho em meu diploma de doutorado,\xa0como presidente do Conselho de Regentes da Universidade. Em\xa01968, acompanhei pela televisão, horrorizado, as notícias sobre os\xa0assassinatos de Martin Luther King e Robert Kennedy (...). No fim de 1968, estava tudo pronto para voltarmos ao Brasil,\xa0onde eu deveria me integrar ao Departamento de Ciência Política\xa0da UFMG e redigir minha tese. Foi quando o governo brasileiro\xa0decretou o AI-5, interrompendo o que parecia ser um processo\xa0de melhora do clima político no Brasil. A repressão recrudesceu\xa0e fiquei sem saber o que fazer. Apter sugeriu que eu permanecesse por mais tempo em Berkeley, mas Carmen e eu acabamos\xa0tomando uma decisão esquizofrênica: despachamos o contêiner\xa0com nossa mudança para Buenos Aires e tomamos o avião para\xa0o Brasil, a caminho de Belo Horizonte, com Michel, nosso filho\xa0recém-nascido, no colo.”']"
"https://cultura.estadao.com.br/noticias/geral,uma-vacina-contra-privilegios,70003586819",1,4,"['Contra elas, usamos as teias invisíveis da casa. O resultado é uma óbvia esquizofrenia (semente de corrupção, nepotismo e despotismo); e uma ambiguidade que cobra o seu alto preço contrariando os valores democráticos da vida pública.']"
"https://cultura.estadao.com.br/noticias/cinema,critica-o-halloween-do-hubie-de-adam-sandler-e-bom,70003468921",1,5,"[', mas você não o descartaria do universo dos irmãos Safdie. Sim, as oscilações de Adam Sandler pelos reinos do cinema parecem ter ficado ainda mais esquizofrênicas nos últimos anos, quando sua fábrica na Netflix lançou várias porcarias junto com algumas pérolas ocasionais, como']"
https://cultura.estadao.com.br/blogs/direto-da-fonte/nao-idealizo-nem-romantizo-maternidade-diz-maria-fernanda-candido/,1,6,"['Bom, acho que não dá pra responder essa pergunta sem entender que estamos nessa jornada há séculos, milênios. Desde os gregos, a mulher era cidadão de terceiro escalão.. Depois vem a era cristã que tem essa visão esquizofrênica da mulher que ou é santa ou é pecadora. No iluminismo tivemos a frase Liberdade, Fraternidade e Igualdade, mas não para mulheres. Toda questão do cuidado, em geral, com a casa, com o outro, com a aparência, com os filhos é atribuída muito mais à mulher. Ao meu ver isso é muito fruto do capitalismo. Procuro não estar refém dessas ideias, da comparação do ‘eu tenho e você não tem’, Embora eu esteja inserida dentro desse sistema.']"
"https://cultura.estadao.com.br/noticias/teatro-e-danca,maria-ribeiro-interpreta-o-monologo-pos-f-inspirado-em-livro-de-fernanda-young,70003434184",1,7,"['Para Maria, o espetáculo “é uma coisa, assim, esquizofrênica, bem (Charlie) Kaufman”, referindo-se ao diretor americano que recebeu o Oscar de roteiro pelo cultuado']"
"https://cultura.estadao.com.br/noticias/cinema,cargo-anunciado-para-regina-duarte-nao-existe-na-cinemateca-brasileira,70003309476",1,8,"['""O contrato do Governo Federal com a Organização Social que a administra – Associação de Comunicação Educativa Roquete Pinto (ACERP) - foi encerrado por iniciativa do MEC. A atual Secretaria Especial da Cultura, responsável pela Cinemateca, tem seus vínculos administrativos divididos entre os ministérios da Cidadania e do Turismo. Essa situação esquizofrênica dificulta a atuação do governo com a urgência necessária para impedir a falência da Cinemateca, enquanto a administração pública se dedica a desenhar uma solução de longo prazo. Se o orçamento da Cinemateca não for imediatamente repassado a ACERP, assegurando a manutenção do quadro mínimo de contratados e as condições físicas de conservação, não haverá necessidade de uma perspectiva de fôlego, pois já teremos alcançado a solução final"", prossegue o documento.', 'Essa situação esquizofrênica dificulta a atuação do governo com a urgência necessária para impedir a falência da Cinemateca, enquanto a administração pública se dedica a desenhar uma solução de longo prazo. Se o orçamento da Cinemateca não for imediatamente repassado a ACERP, assegurando a manutenção do quadro mínimo de contratados e as condições físicas de conservação, não haverá necessidade de uma perspectiva de fôlego, pois já teremos alcançado a solução final.']"
"https://cultura.estadao.com.br/noticias/moda,a-carta-aberta-de-giorgio-armani,70003283162",1,9,"['Armani não está sozinho e sua voz tem ecoado alto. Segundo Carlos Ferreirinha, presidente da MF Consultoria e expert no mercado de luxo, o estilista falou importantes verdades sobre um calendário mundial esquizofrênico com estações invertidas, liquidações sem sentido, envolvido na cultura do excesso e em uma economia circular que não acontece. “Um homem, que chega aos seus 80 anos deixando um legado incrível e decide, por causa da crise gerada pela covid-19, realizar as mudanças necessárias, é algo surpreendente. Poucas marcas tomaram a decisão verdadeira e genuína de dar passos tão corajosos como ele diz que fará”, diz o consultor.']"
