ano,link,paragrafos_resgatados
2001,http://www1.folha.uol.com.br/folha/brasil/ult96u17908.shtml,[]
2001,http://www1.folha.uol.com.br/fsp/ciencia/fe1104200102.htm,[]
2001,http://www1.folha.uol.com.br/fsp/opiniao/fz0111200111.htm,[]
2001,http://www1.folha.uol.com.br/fsp/ciencia/fe1012200102.htm,[]
2001,http://www1.folha.uol.com.br/fsp/cotidian/ff3012200119.htm,[]
2001,http://www1.folha.uol.com.br/fsp/cotidian/ff3012200117.htm,[]
2002,http://www1.folha.uol.com.br/fsp/ombudsma/om1702200202.htm,[]
2002,http://www1.folha.uol.com.br/fsp/ombudsma/om1702200201.htm,[]
2002,http://www1.folha.uol.com.br/colunas/bernardoajzenberg/2002/02/1520115-magica-e-alfinete.shtml,[]
2002,http://www1.folha.uol.com.br/fsp/ciencia/fe2605200204.htm,[]
2002,http://www1.folha.uol.com.br/folha/pensata/ult510u63.shtml,[]
2002,http://www1.folha.uol.com.br/fsp/equilibrio/eq2006200210.htm,[]
2002,http://www1.folha.uol.com.br/folha/pensata/ult510u84.shtml,[]
2003,http://www1.folha.uol.com.br/fsp/opiniao/fz1607200303.htm,[]
2003,http://www1.folha.uol.com.br/fsp/opiniao/fz1607200305.htm,[]
2003,http://www1.folha.uol.com.br/fsp/equilibrio/eq0708200305.htm,[]
2004,http://www1.folha.uol.com.br/fsp/cotidian/ff1108200431.htm,[]
2004,http://www1.folha.uol.com.br/fsp/cotidian/ff1108200433.htm,[]
2004,http://www1.folha.uol.com.br/folha/brasil/ult96u61542.shtml,[]
2004,http://www1.folha.uol.com.br/folha/brasil/ult96u61541.shtml,[]
2005,http://www1.folha.uol.com.br/folha/ciencia/ult306u13353.shtml,[]
2005,http://www1.folha.uol.com.br/fsp/cotidian/ff2407200525.htm,[]
2005,http://www1.folha.uol.com.br/fsp/cotidian/ff2407200527.htm,[]
2005,http://www1.folha.uol.com.br/fsp/mundo/ft2509200517.htm,[]
2005,http://www1.folha.uol.com.br/fsp/mundo/ft2509200515.htm,[]
2005,http://www1.folha.uol.com.br/folha/bbc/ult272u46804.shtml,[]
2006,http://www1.folha.uol.com.br/colunas/luizcaversan/383387-pescolha-a-sua-loucurap.shtml,[]
2006,http://www1.folha.uol.com.br/folha/pensata/ult513u222.shtml,[]
2006,http://www1.folha.uol.com.br/folha/ilustrada/ult90u57427.shtml,[]
2006,http://www1.folha.uol.com.br/folha/ilustrada/ult90u57931.shtml,[]
2006,http://www1.folha.uol.com.br/folha/ilustrada/ult90u58427.shtml,[]
2006,http://www1.folha.uol.com.br/folha/ilustrada/ult90u59090.shtml,[]
2006,http://www1.folha.uol.com.br/fsp/opiniao/fz0408200610.htm,[]
2006,http://www1.folha.uol.com.br/fsp/opiniao/fz0408200608.htm,[]
2006,http://www1.folha.uol.com.br/fsp/opiniao/fz1509200601.htm,[]
2006,http://www1.folha.uol.com.br/fsp/ciencia/fe2009200602.htm,[]
2007,http://www1.folha.uol.com.br/fsp/empregos/ce1102200707.htm,[]
2007,http://www1.folha.uol.com.br/folha/brasil/ult96u312693.shtml,[]
2007,http://www1.folha.uol.com.br/folha/bbc/ult272u314540.shtml,[]
2007,http://www1.folha.uol.com.br/folha/mundo/ult94u314628.shtml,[]
2007,http://www1.folha.uol.com.br/folha/bbc/ult272u315554.shtml,[]
2007,http://www1.folha.uol.com.br/folha/ciencia/ult306u316657.shtml,[]
2007,http://www1.folha.uol.com.br/folha/ilustrada/ult90u320734.shtml,[]
2007,http://www1.folha.uol.com.br/folha/bbc/ult272u321797.shtml,[]
2007,http://www1.folha.uol.com.br/folha/ilustrada/ult90u323755.shtml,[]
2007,http://www1.folha.uol.com.br/folha/brasil/ult96u325696.shtml,[]
2007,http://www1.folha.uol.com.br/fsp/equilibrio/eq2709200712.htm,[]
2007,http://www1.folha.uol.com.br/folha/ciencia/ult306u337994.shtml,[]
2007,http://www1.folha.uol.com.br/folha/bbc/ult272u347198.shtml,[]
2008,http://www1.folha.uol.com.br/folha/cotidiano/ult95u484433.shtml,[]
2008,http://www1.folha.uol.com.br/folha/ciencia/ult306u481395.shtml,[]
2008,http://www1.folha.uol.com.br/folha/cotidiano/ult95u480607.shtml,[]
2008,http://www1.folha.uol.com.br/folha/esporte/ult92u474254.shtml,[]
2008,http://www1.folha.uol.com.br/folha/bbc/ult272u462266.shtml,[]
2008,http://www1.folha.uol.com.br/folha/dinheiro/ult91u459380.shtml,[]
2008,http://www1.folha.uol.com.br/folha/ciencia/ult306u458105.shtml,[]
2008,http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u454279.shtml,[]
2008,http://www1.folha.uol.com.br/fsp/equilibrio/eq0910200807.htm,[]
2008,http://www1.folha.uol.com.br/fsp/equilibrio/eq0910200805.htm,[]
2008,http://www1.folha.uol.com.br/folha/ilustrada/ult90u452876.shtml,[]
2008,http://www1.folha.uol.com.br/folha/mundo/ult94u450114.shtml,[]
2008,http://www1.folha.uol.com.br/fsp/mundo/ft0209200804.htm,[]
2008,http://www1.folha.uol.com.br/folha/ilustrada/ult90u440017.shtml,[]
2008,http://www1.folha.uol.com.br/folha/dinheiro/ult91u436367.shtml,[]
2008,http://www1.folha.uol.com.br/folha/cotidiano/ult95u433559.shtml,[]
2008,http://www1.folha.uol.com.br/folha/ciencia/ult306u428047.shtml,[]
2008,http://www1.folha.uol.com.br/fsp/ciencia/fe3107200803.htm,[]
2008,http://www1.folha.uol.com.br/fsp/ciencia/fe3107200801.htm,[]
2008,http://www1.folha.uol.com.br/folha/brasil/ult96u427586.shtml,[]
2008,http://www1.folha.uol.com.br/folha/brasil/ult96u425978.shtml,[]
2008,http://www1.folha.uol.com.br/folha/ilustrada/ult90u424622.shtml,[]
2008,http://www1.folha.uol.com.br/folha/ilustrada/ult90u420569.shtml,[]
2008,http://www1.folha.uol.com.br/folha/cotidiano/ult95u420502.shtml,[]
2008,http://www1.folha.uol.com.br/folha/bbc/ult272u408209.shtml,[]
2008,http://www1.folha.uol.com.br/folha/ilustrada/ult90u402867.shtml,[]
2008,http://www1.folha.uol.com.br/folha/mundo/ult94u402447.shtml,[]
2008,http://www1.folha.uol.com.br/folha/ciencia/ult306u399015.shtml,[]
2008,http://www1.folha.uol.com.br/folha/ilustrada/ult90u395191.shtml,[]
2008,http://www1.folha.uol.com.br/folha/cotidiano/ult95u392254.shtml,[]
2008,http://www1.folha.uol.com.br/folha/mundo/ult94u390413.shtml,[]
2008,http://www1.folha.uol.com.br/folha/ilustrada/ult90u387742.shtml,[]
2008,http://www1.folha.uol.com.br/folha/ciencia/ult306u386671.shtml,[]
2008,http://www1.folha.uol.com.br/folha/ciencia/ult306u386630.shtml,[]
2008,http://www1.folha.uol.com.br/folha/ilustrada/ult90u382405.shtml,[]
2008,http://www1.folha.uol.com.br/folha/bbc/ult272u369720.shtml,[]
2008,http://www1.folha.uol.com.br/folha/bbc/ult272u369717.shtml,[]
2008,http://www1.folha.uol.com.br/folha/cotidiano/ult95u369426.shtml,[]
2008,http://www1.folha.uol.com.br/folha/bbc/ult272u365119.shtml,[]
2009,http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u672354.shtml,[]
2009,http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u660499.shtml,[]
2009,http://www1.folha.uol.com.br/folha/mundo/ult94u659961.shtml,[]
2009,http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u654139.shtml,[]
2009,http://www1.folha.uol.com.br/folha/mundo/ult94u649589.shtml,[]
2009,http://www1.folha.uol.com.br/folha/ciencia/ult306u647490.shtml,[]
2009,http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u647347.shtml,[]
2009,http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u644340.shtml,[]
2009,http://www1.folha.uol.com.br/folha/ciencia/ult306u642734.shtml,[]
2009,http://www1.folha.uol.com.br/folha/ciencia/ult306u634878.shtml,[]
2009,http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u617257.shtml,[]
2009,http://www1.folha.uol.com.br/folha/ciencia/ult306u612556.shtml,[]
2009,http://www1.folha.uol.com.br/folha/brasil/ult96u611472.shtml,[]
2009,http://www1.folha.uol.com.br/colunas/zapping/605692-priscila-barra-ana-em-evento-em-sp.shtml,[]
2009,http://www1.folha.uol.com.br/folha/ilustrada/ult90u603023.shtml,[]
2009,http://www1.folha.uol.com.br/folha/ilustrada/ult90u601646.shtml,[]
2009,http://www1.folha.uol.com.br/folha/cotidiano/ult95u595654.shtml,[]
2009,http://www1.folha.uol.com.br/colunas/helioschwartsman/592447-michael-who.shtml,[]
2009,http://www1.folha.uol.com.br/folha/ciencia/ult306u591212.shtml,[]
2009,http://www1.folha.uol.com.br/folha/ilustrada/ult90u581116.shtml,[]
2009,http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u578045.shtml,[]
2009,http://www1.folha.uol.com.br/colunas/zapping/577436-celso-freitas-sai-do-ar-na-record.shtml,[]
2009,http://www1.folha.uol.com.br/folha/colunas/zapping/ult3954u577436.shtml,[]
2009,http://www1.folha.uol.com.br/folha/ciencia/ult306u575851.shtml,[]
2009,http://www1.folha.uol.com.br/folha/cotidiano/ult95u558426.shtml,[]
2009,http://www1.folha.uol.com.br/folha/ilustrada/ult90u556891.shtml,[]
2009,http://www1.folha.uol.com.br/folha/ilustrada/ult90u554345.shtml,[]
2009,http://www1.folha.uol.com.br/folha/dinheiro/ult91u553595.shtml,[]
2009,http://www1.folha.uol.com.br/paineldoleitor/secaodecartas/550725-hospitais-psiquiatricos-hospitais-em-minas-fumo.shtml,[]
2009,http://www1.folha.uol.com.br/folha/ciencia/ult306u542764.shtml,[]
2009,http://www1.folha.uol.com.br/folha/bbc/ult272u532048.shtml,[]
2009,http://www1.folha.uol.com.br/folha/mundo/ult94u530488.shtml,[]
2009,http://www1.folha.uol.com.br/folha/ilustrada/ult90u507503.shtml,[]
2009,http://www1.folha.uol.com.br/folha/cotidiano/ult95u503777.shtml,[]
2009,http://www1.folha.uol.com.br/folha/ciencia/ult306u493066.shtml,[]
2009,http://www1.folha.uol.com.br/folha/ilustrada/ult90u492266.shtml,[]
2009,http://www1.folha.uol.com.br/folha/ilustrada/ult90u490265.shtml,[]
2009,http://www1.folha.uol.com.br/folha/ciencia/ult306u489977.shtml,[]
2010,http://www1.folha.uol.com.br/cotidiano/846701-justica-determina-transferencia-de-assassino-de-glauco-a-hospital-psiquiatrico.shtml,[]
2010,http://www1.folha.uol.com.br/mundo/843874-homem-e-considerado-culpado-de-sequestro-de-jovem-para-sexo-ilegal-nos-eua.shtml,[]
2010,http://www1.folha.uol.com.br/ciencia/831182-para-elucidar-doencas-mentais-pesquisadores-estudam-historia-de-vida-dos-genes.shtml,[]
2010,http://www1.folha.uol.com.br/cotidiano/827262-acusado-de-agredir-jovem-em-livraria-e-transferido-para-hospital-psiquiatrico-em-sp.shtml,[]
2010,http://www1.folha.uol.com.br/cotidiano/827185-justica-determina-transferencia-de-acusado-de-agredir-jovem-dentro-de-livraria-de-sp.shtml,[]
2010,http://www1.folha.uol.com.br/ilustrissima/826153-burocracia-in-vitro-os-tramites-que-embaracam-a-pesquisa-brasileira.shtml,[]
2010,http://www1.folha.uol.com.br/ilustrada/824381-uma-thurman-e-assediada-novamente-por-ex-paciente-mental.shtml,[]
2010,http://www1.folha.uol.com.br/folha/livrariadafolha/823319-no-dia-de-finados-visite-o-tumulo-de-escritores-em-sao-paulo.shtml,[]
2010,http://www1.folha.uol.com.br/fsp/saude/sd0211201002.htm,[]
2010,http://www1.folha.uol.com.br/fsp/saude/sd0211201004.htm,[]
2010,http://www1.folha.uol.com.br/fsp/ilustrad/fq3010201022.htm,[]
2010,http://www1.folha.uol.com.br/fsp/ilustrad/fq3010201020.htm,[]
2010,http://www1.folha.uol.com.br/bbc/821675-justica-condena-mae-por-esfaquear-filha-e-mergulhar-corpo-em-acido.shtml,[]
2010,http://www1.folha.uol.com.br/cotidiano/819697-pm-reformado-faz-familia-refem-em-matozinhos-mg.shtml,[]
2010,http://www1.folha.uol.com.br/colunas/marceloleite/817101-us-1-milhao-para-genes-e-ambiente.shtml,[]
2010,http://www1.folha.uol.com.br/cotidiano/817042-57-das-farmacias-publicas-em-sao-paulo-estao-irregulares-diz-conselho.shtml,[]
2010,http://www1.folha.uol.com.br/equilibrioesaude/807299-estudo-descobre-evidencia-de-que-hiperatividade-e-genetica.shtml,[]
2010,http://www1.folha.uol.com.br/ilustrada/807080-vida-de-tony-curtis-parece-ter-saido-de-um-roteiro-de-hollywood.shtml,[]
2010,http://www1.folha.uol.com.br/mundo/803547-ultranacionalista-russo-que-fugiu-de-sanatorio-e-preso-na-noruega.shtml,[]
2010,http://www1.folha.uol.com.br/equilibrioesaude/794888-doencas-mentais-isoladamente-nao-tornam-as-pessoas-mais-violentas.shtml,[]
2010,http://www1.folha.uol.com.br/equilibrioesaude/790973-cigarro-vicia-mais-que-maconha-diz-estudo.shtml,[]
2010,http://www1.folha.uol.com.br/mundo/784182-videos-de-interrogatorio-de-terrorista-sao-encontrados-em-mesa-da-cia.shtml,[]
2010,http://www1.folha.uol.com.br/cotidiano/783773-acusado-de-agredir-jovem-com-taco-de-beisebol-em-sp-sera-transferido-para-manicomio.shtml,[]
2010,http://www1.folha.uol.com.br/equilibrioesaude/782544-pessoas-deprimidas-tem-menos-olfato-indica-pesquisa.shtml,[]
2010,http://www1.folha.uol.com.br/fsp/opiniao/fz0908201009.htm,[]
2010,http://www1.folha.uol.com.br/ciencia/777376-sociologia-precisa-de-equacoes-dizem-premios-nobel-em-sp.shtml,[]
2010,http://www1.folha.uol.com.br/ilustrada/771719-novela-ze-trovao-se-recusa-a-entrar-na-arena-em-ana-raio-e-ze-trovao.shtml,[]
2010,http://www1.folha.uol.com.br/equilibrioesaude/765178-usp-testa-estimulo-cerebral-em-viciados-em-drogas.shtml,[]
2010,http://www1.folha.uol.com.br/equilibrioesaude/762684-veja-personagens-doidos-e-transtornos-classicos-do-cinema.shtml,[]
2010,http://www1.folha.uol.com.br/equilibrioesaude/762679-loucura-retratada-no-cinema-vira-objeto-de-estudo-e-terapia.shtml,[]
2010,http://www1.folha.uol.com.br/bbc/762206-dono-de-clinica-suica-defende-direito-de-doentes-mentais-a-suicidio-assistido.shtml,[]
2010,http://www1.folha.uol.com.br/mercado/761537-teste-mostra-qual-e-o-melhor-carro-para-viajar-nas-ferias.shtml,[]
2010,http://www1.folha.uol.com.br/tec/760827-viciado-em-games-e-condenado-a-20-anos-de-prisao-por-morte-de-mae.shtml,[]
2010,http://www1.folha.uol.com.br/cotidiano/758979-justica-de-sao-carlos-sp-proibe-tratamento-de-viciados-em-hospital-psiquiatrico.shtml,[]
2010,http://www1.folha.uol.com.br/mundo/758451-apos-soltura-cacador-de-bin-laden-diz-que-nao-desistira-de-sua-busca.shtml,[]
2010,http://www1.folha.uol.com.br/equilibrioesaude/740186-psiquiatras-usam-tratamentos-cruzados-contra-vicios.shtml,[]
2010,http://www1.folha.uol.com.br/folha/livrariadafolha/ult10082u738695.shtml,[]
2010,http://www1.folha.uol.com.br/folha/mundo/ult94u728176.shtml,[]
2010,http://www1.folha.uol.com.br/folha/ilustrada/ult90u720155.shtml,[]
2010,http://www1.folha.uol.com.br/ilustrada/720155-historiador-eric-hobsbawm-aponta-questoes-cruciais-do-seculo-21.shtml,[]
2010,http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u719481.shtml,[]
2010,http://www1.folha.uol.com.br/folha/ilustrada/ult90u718462.shtml,[]
2010,http://www1.folha.uol.com.br/folha/ciencia/ult306u716779.shtml,[]
2010,http://www1.folha.uol.com.br/folha/ilustrada/ult90u714406.shtml,[]
2010,http://www1.folha.uol.com.br/folha/livrariadafolha/ult10082u714535.shtml,[]
2010,http://www1.folha.uol.com.br/folha/bbc/ult272u705985.shtml,[]
2010,http://www1.folha.uol.com.br/folha/ciencia/ult306u705438.shtml,[]
2010,http://www1.folha.uol.com.br/cotidiano/704554-promotoria-pede-exame-de-acusado-de-atacar-jovem-com-taco-em-livraria-de-sp.shtml,[]
2010,http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u700671.shtml,[]
2010,http://www1.folha.uol.com.br/fsp/mais/fs2802201013.htm,[]
2010,http://www1.folha.uol.com.br/fsp/mais/fs2802201011.htm,[]
2010,http://www1.folha.uol.com.br/folha/podcasts/ult10065u681786.shtml,[]
2010,http://www1.folha.uol.com.br/folha/ilustrada/ult90u676786.shtml,[]
2010,http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u675756.shtml,[]
2011,http://www1.folha.uol.com.br/bbc/1025428-transexual-e-condenado-por-empurrar-advogado-para-frente-de-trem.shtml,[]
2011,http://www1.folha.uol.com.br/equilibrioesaude/1020026-injecao-que-pode-tratar-esquizofrenia-chega-ao-brasil-neste-mes.shtml,[]
2011,http://www1.folha.uol.com.br/equilibrioesaude/1020031-foi-dificil-aceitar-a-esquizofrenia-diz-engenheiro.shtml,[]
2011,http://www1.folha.uol.com.br/mundo/1019984-atirador-noruegues-nao-se-arrepende-de-seus-atos-diz-advogado.shtml,[]
2011,http://www1.folha.uol.com.br/colunas/helioschwartsman/1014654-a-vinganca-dos-vermes.shtml,[]
2011,http://www1.folha.uol.com.br/mundo/1013712-relatorio-psiquiatrico-conclui-que-atirador-noruegues-tem-esquizofrenia.shtml,[]
2011,http://www1.folha.uol.com.br/ilustrada/1012976-virtuose-da-guitarra-lanny-gordin-celebra-60-anos-com-show.shtml,[]
2011,http://www1.folha.uol.com.br/ciencia/1006316-parasita-altera-quimica-do-cerebro-e-manipula-mente-de-hospedeiro.shtml,[]
2011,http://www1.folha.uol.com.br/paineldoleitor/1003046-leitor-conclui-que-fumar-maconha-antes-dos-18-anos-e-perigoso.shtml,[]
2011,http://www1.folha.uol.com.br/ilustrissima/1002193-a-lucidez-postuma-de-rodrigo-de-souza-leao.shtml,[]
2011,http://www1.folha.uol.com.br/ilustrada/1002311-broken-social-scene-faz-show-com-erros-e-acertos-no-planeta-terra.shtml,[]
2011,http://www1.folha.uol.com.br/equilibrioesaude/1000351-psiquiatria-vive-crise-por-falta-de-provas-cientificas-diz-nobel.shtml,[]
2011,http://www1.folha.uol.com.br/livrariadafolha/997562-os-demonios-de-henry-acompanha-luta-de-familia-contra-esquizofrenia.shtml,[]
2011,http://www1.folha.uol.com.br/equilibrioesaude/996752-estudo-afirma-que-maconha-causa-caos-cognitivo-no-cerebro.shtml,[]
2011,http://www1.folha.uol.com.br/ilustrada/996258-homem-que-invadiu-casa-de-madonna-vai-para-unidade-psiquiatrica.shtml,[]
2011,http://www1.folha.uol.com.br/paineldoleitor/983269-leitor-condena-o-uso-de-drogas-e-diz-que-elas-criam-vitimas.shtml,[]
2011,http://www1.folha.uol.com.br/colunas/luliradfahrer/978640-o-formidavel-enterro-da-ultima-quimera.shtml,[]
2011,http://www1.folha.uol.com.br/ciencia/978837-analise-cerebro-humano-tem-vies-religioso-de-fabrica.shtml,[]
2011,http://www1.folha.uol.com.br/mundo/975001-casey-anthony-pode-ter-sofrido-de-convulsao-diz-mae.shtml,[]
2011,http://www1.folha.uol.com.br/equilibrioesaude/968173-cientistas-britanicos-identificam-genes-da-magreza.shtml,[]
2011,http://www1.folha.uol.com.br/colunas/gilbertodimenstein/967420-a-sustentabilidade-do-sexo-esta-ameacada.shtml,[]
