ano,links,nome,paragrafos_resgatados,indice,paragrafos_tratados_sw
2009,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADtica/dilma-defende-o-pmdb-de-olho-em-alian%C3%A7a-em-2010-1.1773,esquizofrenia,"['Em entrevista, a governadora considerou ""incoerente"" um partido que participa do seu governo bater na gestão. ""É esquizofrenia"", disse ela, em demonstração de que a união com o PMDB regional não será fácil. Segundo a petista, o PMDB coordena dois terços dos programas do PAC (Programa de Aceleração do Crescimento). Em entrevista ao lado de Dilma e do ministro das Relações Institucionais, Alexandre Padilha, Ana Júlia disse ser possível superar os obstáculos.']",0,['entrevista governadora considerou incoerente partido participa governo bater gestão esquizofrenia disse demonstração união pmdb regional será fácil petista pmdb coordena terços programas pac programa aceleração crescimento entrevista dilma ministro relações institucionais alexandre padilha ana júlia disse superar obstáculos']
2010,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/cl%C3%ADnica-investigada-por-maus-tratos-%C3%A9-proibida-de-atender-adolescentes-1.46934,esquizofrenia,"['Dependentes químicos eram mantidos de forma irregular ao lado de pacientes com esquizofrenia', 'O Juizado da Infância e da Juventude de Passo Fundo, no Norte do Estado, concedeu nessa quarta-feira liminar em ação civil pública, movida pelo Ministério Público, que proíbe uma clínica terapêutica investigada por denúncias de maus tratos de internar crianças e adolescentes para avaliação ou tratamento de dependência química. A clínica de recuperação de dependentes químicos e portadores de esquizofrenia, localizada no loteamento Dom Rodolfo, foi denunciada por agressões e abuso sexual contra os internos.', ', onde encontraram 72 pacientes de ambos os sexos. Entre eles, estavam 14 adolescentes dependentes químicos, mantidos de forma irregular ao lado de pacientes com esquizofrenia. Os adolescentes foram retirados da clínica e o Ministério Público abriu procedimento para investigar o caso. Segundo a promotora da Infância e da Juventude, Ana Cristina Ferrareze Cirne, os depoimentos dos internos e laudos técnicos confirmaram as denúncias de agressões físicas, psicológicas, maus tratos e abuso sexual.']",1,"['dependentes químicos eram mantidos irregular pacientes esquizofrenia', 'juizado infância juventude passo fundo norte concedeu liminar ação civil pública movida ministério público proíbe clínica terapêutica investigada denúncias maus tratos internar crianças adolescentes avaliação tratamento dependência química clínica recuperação dependentes químicos portadores esquizofrenia localizada loteamento dom rodolfo denunciada agressões abuso sexual internos', 'encontraram pacientes sexos estavam adolescentes dependentes químicos mantidos irregular pacientes esquizofrenia adolescentes retirados clínica ministério público abriu procedimento investigar caso promotora infância juventude ana cristina ferrareze cirne depoimentos internos laudos técnicos confirmaram denúncias agressões físicas psicológicas maus tratos abuso sexual']"
2010,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/pacientes-ser%C3%A3o-removidos-de-cl%C3%ADnica-em-passo-fundo-devido-a-den%C3%BAncia-de-maus-tratos-1.42800,esquizofrenia,"['Os pacientes internados em uma clínica\xa0para recuperação de dependentes químicos e doentes com esquizofrenia, no loteamento Dom Rodolfo, em Passo Fundo, serão removidos do local', 'Além das denúncias de maus tratos e tortura, que estão sendo investigadas pela Delegacia de Proteção a Criança e ao Adolescente (DPCA), a clínica não tem alvará de funcionamento. Grando\xa0informou que em setembro de 2009, o local teve o documento para funcionamento negado pela Vigilância Sanitária por não preencher os requisitos necessários para atender pacientes com esquizofrenia.\xa0Sem o alvará, a clínica é considerada clandestina.']",2,"['pacientes internados clínica recuperação dependentes químicos doentes esquizofrenia loteamento dom rodolfo passo fundo serão removidos', 'denúncias maus tratos tortura sendo investigadas delegacia proteção criança adolescente dpca clínica alvará funcionamento grando informou setembro documento funcionamento negado vigilância sanitária preencher requisitos necessários atender pacientes esquizofrenia alvará clínica considerada clandestina']"
2010,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/donos-de-cl%C3%ADnica-de-passo-fundo-podem-ser-indiciados-por-tortura-1.42739,esquizofrenia,"['e doentes com esquizofrenia por crime de tortura. A polícia está investigando a casa de tratamento, localizada no loteamento Dom Rodolfo, na periferia da cidade, devido a denúncias de maus tratos contra internos.']",3,['doentes esquizofrenia crime tortura polícia investigando casa tratamento localizada loteamento dom rodolfo periferia cidade devido denúncias maus tratos internos']
2010,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/pol%C3%ADcia-investiga-cl%C3%ADnica-de-reabilita%C3%A7%C3%A3o-de-passo-fundo-por-maus-tratos-1.42693,esquizofrenia,"['Dos 72 pacientes internados, 49 sofrem de esquizofrenia e 23 são dependentes químicos – 14 são adolescentes entre 15 e 18 anos incompletos, entre eles quatro meninas.\xa0Todos foram encaminhados ao Departamento Médico Legal para exame de lesões corporais.']",4,['pacientes internados sofrem esquizofrenia dependentes químicos adolescentes anos incompletos meninas encaminhados departamento médico legal exame lesões corporais']
2010,https://www.correiodopovo.com.br/arteagenda/tony-curtis-morre-aos-85-anos-1.42148,esquizofrenia,"['Em sua autobiografia, ""American Prince: A Memoir"" (Príncipe americano: uma memória, em tradução livre), Tony falou abertamente sobre a infância pobre e os abusos que sofreu nas mãos da mãe, que foi diagnosticada com esquizofrenia.']",5,['autobiografia american prince memoir príncipe americano memória tradução livre tony falou abertamente infância pobre abusos sofreu mãos mãe diagnosticada esquizofrenia']
2010,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/justi%C3%A7a-pune-com-tratamento-psiqui%C3%A1trico-acusado-de-matar-torcedor-do-inter-em-2006-1.41535,esquizofrenia,"['A defesa ainda pode recorrer da decisão e a medida só passa a valer quando o processo transitar em julgado, ou seja, não couber mais recursos. O réu foi diagnosticado com esquizofrenia-paranóide.']",6,['defesa recorrer decisão medida passa valer processo transitar julgado seja couber recursos réu diagnosticado']
2010,https://www.correiodopovo.com.br/blogs/juremirmachado/rea%C3%A7%C3%A3o-farroupilha-1.287764,esquizofrenia,"['Nunca gostei do que tu escreveu, seja em teus livros, seja na tua coluna no Correio do Povo, mas ouvindo hoje pela manhã teus comentários no programa Bom Dia, além de gostar menos ainda de ti, comecei a ficar preocupado se tu não estás sofrendo de algum distúrbio psiquiátrico, como demência ou esquizofrenia.']",7,['gostei escreveu seja livros seja coluna correio ouvindo hoje manhã comentários programa dia gostar ti comecei ficar preocupado sofrendo algum distúrbio psiquiátrico demência esquizofrenia']
2010,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/centenas-de-medicamentos-de-uso-restrito-s%C3%A3o-encontrados-na-capital-1.23814,esquizofrenia,"['Entre os medicamentos apreendidos haviam morfina, analgésicos cirúrgicos, antipsicóticos e indicados até para tratamento da esquizofrenia, além de outros narcóticos e antidepressivos. Muitos estavam rotulados como genéricos. Todas as embalagens não estavam amassadas e nem tinham sinais de deterioração, indicando que as mesmas encontravam-se sendo bem armazenadas antes de serem abandonadas na via pública.']",8,['medicamentos apreendidos haviam morfina analgésicos cirúrgicos antipsicóticos indicados tratamento esquizofrenia narcóticos antidepressivos estavam rotulados genéricos embalagens estavam amassadas tinham sinais deterioração indicando mesmas sendo armazenadas serem abandonadas via pública']
2010,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/consumo-de-maconha-aumenta-risco-de-doen%C3%A7as-ps%C3%ADquicas-diz-estudo-1.18846,esquizofrenia,"['Pouco mais de 14% deles responderam que consumiam maconha há seis anos ou mais. O estudo constatou que esses jovens corriam um risco duas vezes maior de sofrer de doenças psicóticas, como a esquizofrenia, do que aqueles que nunca consumiram. O risco de serem vítimas de alucinações também é duas vezes maior; e o de delírios, quatro vezes mais elevado.']",9,['deles responderam consumiam maconha há anos estudo constatou jovens corriam risco sofrer doenças psicóticas esquizofrenia consumiram risco serem vítimas alucinações delírios elevado']
