jornal,coluna,data,titulo,link,metaforico,paragrafos_resgatados,paragrafos_tratados_sw
Folha de S. Paulo,Ilustrada,2001-04-01,Tampas e panelas de pressão,https://www1.folha.uol.com.br/fsp/ilustrad/fq0401200121.htm,0,"['É uma idiotice. Mas é o preço do sucesso dos antidepressivos: eles se transformaram em aspirinas do espírito. São frequentemente prescritos por clínicos apressados e sem diagnóstico específico. Está triste? Tome, que faz bem! Está delirando? Também tome, nunca se sabe! Usar Prozac pode ser índice de qualquer condição: ""spleen"" do poeta, angústia do vestibulando ou esquizofrenia.']",['idiotice preço sucesso antidepressivos transformaram aspirinas espírito frequentemente prescritos clínicos apressados diagnóstico específico triste tome delirando tome prozac índice condição spleen poeta angústia vestibulando esquizofrenia']
Folha de S. Paulo,Mundo,2001-09-01,OMS diz quer 400 milhões de pessoas sofrem de transtorno mental,https://www1.folha.uol.com.br/folha/mundo/ult94u16986.shtml?origin=folha,0,"['Os transtornos psíquicos, inclusive as manifestações depressivas, a esquizofrenia, o Mal de Alzheimer, a epilepsia e o retardamento mental representam 11% das doenças no mundo desenvolvido.']",['transtornos psíquicos manifestações depressivas esquizofrenia alzheimer epilepsia retardamento mental representam doenças mundo desenvolvido']
Folha de S. Paulo,Ilustrada,2001-10-01,Traços de esquizofrenia,https://www1.folha.uol.com.br/fsp/ilustrad/fq1001200106.htm,0,"['O artista plástico Ubirajara Ferreira Braga começou a pintar tardiamente, aos 58 anos. Isso após passar por tratamentos de choque, ao ter sido internado como esquizofrênico, no Hospital Psiquiátrico do Juquery, em 59.No dia 20 de novembro passado, Ubirajara morreu praticamente desconhecido, apesar de suas obras representarem quase 30% do acervo do museu Osório Cesar, que faz parte da instituição.']",['artista plástico ubirajara ferreira braga começou pintar tardiamente anos passar tratamentos choque sido internado esquizofrênico hospital psiquiátrico juquery dia novembro passado ubirajara morreu praticamente desconhecido apesar obras representarem quase acervo museu osório cesar instituição']
Folha de S. Paulo,Ciência,2001-01-16,Israelenses descobrem gene que indica propensão à esquizofrenia,https://www1.folha.uol.com.br/folha/ciencia/ult306u2066.shtml?origin=folha,0,"['Folha Online - Ciência - Israelenses descobrem gene que indica propensão à esquizofrenia - 16/01/2001 23h02', 'Um grupo de pesquisadores israelenses descobriu um gene que pode servir para diagnosticar a esquizofrenia via exame de sangue. O gene, conhecido como D3, está ligado à produção da dopamina, substância envolvida na transmissão de impulsos nervosos.', 'A descoberta pode trazer benefício aos pacientes porque reduziria o tempo de testes antes do início de um tratamento. Normalmente, a esquizofrenia é diagnosticada no início da idade adulta. A doença não tem cura e as drogas usadas no tratamento causam graves efeitos colaterais.', '""A dopamina é o principal neurotransmissor do sistema nervoso central e seus receptores estão associados a diversos distúrbios como a doença de Parkinson e a esquizofrenia"", afirmou Tal Ilani, que coordena uma equipe do Instituto de Ciência Weizmann, em Rehotov, Israel. Um artigo sobre o estudo foi publicado pela Academia Nacional de Ciências dos EUA.', 'Na pesquisa, os cientistas analisaram 14 pacientes com esquizofrenia e 14 pessoas da mesma idade e do mesmo sexo que não tinham a doença.', 'As pessoas com esquizofrenia tendiam a apresentar uma quantidade maior de uma certa classe desses receptores, chamados receptores de dopamina D3, de acordo com o estudo.', 'Os pacientes tomando medicamentos e aqueles que não usavam nenhuma droga tendiam a apresentar pelo menos o dobro da atividade do gene do receptor D3 do que pessoas sem esquizofrenia, afirmaram os pesquisadores. ""Propomos o RNA mensageiro do receptor D3 nos linfócitos do sangue como um marcador de identificação e acompanhamento da esquizofrenia"", disseram Ilani e sua equipe.']","['folha online ciência israelenses descobrem gene indica propensão esquizofrenia', 'pesquisadores israelenses descobriu gene servir diagnosticar esquizofrenia via exame sangue gene produção dopamina substância envolvida transmissão impulsos nervosos', 'descoberta trazer benefício pacientes reduziria testes início tratamento normalmente esquizofrenia diagnosticada início idade adulta doença cura drogas usadas tratamento causam graves efeitos colaterais', 'dopamina principal neurotransmissor nervoso central receptores associados diversos distúrbios doença parkinson esquizofrenia afirmou ilani coordena equipe instituto ciência weizmann rehotov israel artigo estudo publicado academia nacional ciências eua', 'pesquisa cientistas analisaram pacientes esquizofrenia pessoas mesma idade sexo tinham doença', 'pessoas esquizofrenia tendiam apresentar quantidade certa classe desses receptores chamados receptores dopamina acordo estudo', 'pacientes tomando medicamentos usavam droga tendiam apresentar dobro atividade gene receptor pessoas esquizofrenia afirmaram pesquisadores propomos rna mensageiro receptor linfócitos sangue marcador identificação acompanhamento esquizofrenia disseram ilani equipe']"
Folha de S. Paulo,Ciência,2001-01-17,Pesquisadores anunciam exame de sangue que detecta esquizofrenia,https://www1.folha.uol.com.br/folha/ciencia/ult306u2071.shtml?origin=folha,0,"['Folha Online - Ciência - Pesquisadores anunciam exame de sangue que detecta esquizofrenia - 17/01/2001 12h04', 'Pesquisadores israelenses afirmaram ontem que podem ter descoberto um teste de sangue para esquizofrenia. De acordo com os cientistas, o exame poderá ser usado para reduzir o tempo de realização de testes para o doença e talvez permitir que os pacientes recebam o tratamento mais cedo.', 'Os pesquisadores descobriram um gene que está especialmente superativado em pacientes com esquizofrenia e, segundo eles, o teste de identificação do gene foi relativamente fácil.', '""A dopamina é o principal neurotransmissor do sistema nervoso central e seus receptores estão associados a diversos distúrbios neuropatológicos como a doença de Parkinson e a esquizofrenia"", afirmaram os pesquisadores no estudo publicado em Proceedings of the National Academy of Sciences.', 'Durante o estudo, os cientistas analisaram 14 pacientes com esquizofrenia e 14 pessoas da mesma idade e do mesmo sexo que não tinham a doença.', 'As pessoas com esquizofrenia tendiam a apresentar uma quantidade maior de uma certa classe desses receptores, chamados receptores de dopamina D3.', 'Os pacientes tomando medicamentos e aqueles que não usavam nenhuma droga tendiam a apresentar pelo menos o dobro da atividade do gene do receptor D3 do que pessoas sem esquizofrenia, disseram os pesquisadores. ""Propomos o RNA mensageiro do receptor D3 nos linfócitos do sangue como um marcador de identificação e acompanhamento da esquizofrenia"", disseram Ilani e sua equipe.', 'Normalmente, a esquizofrenia é diagnosticada no início da idade adulta. A doença não tem cura e as drogas usadas no tratamento causam graves efeitos colaterais.']","['folha online ciência pesquisadores anunciam exame sangue detecta esquizofrenia', 'pesquisadores israelenses afirmaram descoberto teste sangue esquizofrenia acordo cientistas exame usado reduzir realização testes doença permitir pacientes recebam tratamento', 'pesquisadores descobriram gene especialmente superativado pacientes esquizofrenia teste identificação gene relativamente fácil', 'dopamina principal neurotransmissor nervoso central receptores associados diversos distúrbios neuropatológicos doença parkinson esquizofrenia afirmaram pesquisadores estudo publicado proceedings of the national academy of sciences', 'durante estudo cientistas analisaram pacientes esquizofrenia pessoas mesma idade sexo tinham doença', 'pessoas esquizofrenia tendiam apresentar quantidade certa classe desses receptores chamados receptores dopamina', 'pacientes tomando medicamentos usavam droga tendiam apresentar dobro atividade gene receptor pessoas esquizofrenia disseram pesquisadores propomos rna mensageiro receptor linfócitos sangue marcador identificação acompanhamento esquizofrenia disseram ilani equipe', 'normalmente esquizofrenia diagnosticada início idade adulta doença cura drogas usadas tratamento causam graves efeitos colaterais']"
Folha de S. Paulo,Ilustrada,2001-01-17,Filme com Samuel Jackson abre Festival do Cinema Negro nos EUA,https://www1.folha.uol.com.br/folha/ilustrada/ult90u9192.shtml?origin=folha,0,['Jackson faz o papel de um músico talentoso que sofre de esquizofrenia e vira um sem-teto que precisa solucionar um assassinato.'],['jackson papel músico talentoso sofre esquizofrenia vira precisa solucionar assassinato']
Folha de S. Paulo,Ciência,2021-01-17,Autopercepção está no lado direito do cérebro,https://www1.folha.uol.com.br/folha/ciencia/ult306u2087.shtml?origin=folha,0,"['A pesquisa está na edição de amanhã da revista ""Nature"". Segundo seu coordenador, Julian Paul Keenan, da Escola Médica de Harvard, ela pode ajudar a entender melhor e a tratar problemas como a esquizofrenia e a assomatopagnosia, síndrome em que o paciente não consegue identificar as extremidades do próprio corpo.', 'Segundo o pesquisador, o estudo mostra que pode ser possível aumentar a autopercepção de um paciente que sofra de esquizofrenia ou despersonalização mudando a maneira como o lado direito do cérebro é estimulado.']","['pesquisa edição amanhã revista nature coordenador julian paul keenan escola médica harvard ajudar entender melhor tratar problemas esquizofrenia assomatopagnosia síndrome paciente consegue identificar extremidades corpo', 'pesquisador estudo mostra aumentar autopercepção paciente sofra esquizofrenia despersonalização mudando maneira direito cérebro estimulado']"
Folha de S. Paulo,Ciência,2001-01-18,Pesquisa pode auxiliar tratamento de esquizofrenia e despersonalização,https://www1.folha.uol.com.br/fsp/ciencia/fe1801200107.htm,0,"['Folha de S.Paulo - Cérebro: Pesquisa pode auxiliar tratamento de esquizofrenia e despersonalização - 18/01/2001', 'A pesquisa foi publicada hoje na revista ""Nature"". Segundo seu coordenador, Julian Paul Keenan, da Escola Médica de Harvard, ela pode ajudar a entender melhor e a tratar problemas como a esquizofrenia e a assomatopagnosia, síndrome em que o paciente não consegue identificar as extremidades do próprio corpo.', 'Segundo o pesquisador, o estudo mostra que pode ser possível aumentar a autopercepção de um paciente que sofra de esquizofrenia ou despersonalização mudando a maneira como o lado direito do cérebro é estimulado.']","['folha cérebro pesquisa auxiliar tratamento esquizofrenia despersonalização', 'pesquisa publicada hoje revista nature coordenador julian paul keenan escola médica harvard ajudar entender melhor tratar problemas esquizofrenia assomatopagnosia síndrome paciente consegue identificar extremidades corpo', 'pesquisador estudo mostra aumentar autopercepção paciente sofra esquizofrenia despersonalização mudando maneira direito cérebro estimulado']"
Folha de S. Paulo,Ciência,2001-07-02,Cientistas fazem previsões otimistas sobre avanços até 2005,https://www1.folha.uol.com.br/folha/ciencia/ult306u2418.shtml?origin=folha,0,"['Até 2025, os médicos poderão ser capazes de evitar o mal de Alzheimer e a osteoporose, substituir órgãos defeituosos com tecidos produzidos por engenharia genética e projetar terapias personalizadas para esquizofrenia e depressão. A previsão foi feita hoje por Linda G. Griffth, do Instituto de Tecnologia de Massachusetts, em Cambridge, durante entrevista coletiva.']",['médicos poderão capazes evitar alzheimer osteoporose substituir órgãos defeituosos tecidos produzidos engenharia genética projetar terapias personalizadas esquizofrenia depressão previsão feita hoje linda griffth instituto tecnologia massachusetts cambridge durante entrevista coletiva']
Folha de S. Paulo,Equilibrio,2001-08-02,Dúvidas: A homeopatia tem uma ação limitada?,https://www1.folha.uol.com.br/fsp/equilibrio/eq0802200113.htm,0,"['Doenças graves, como esquizofrenia, que exigem acompanhamento médico constante são tratadas pela psiquiatria convencional. Mas é possível lançar mão de ação conjunta. A homeopatia tem tido sucesso no tratamento de depressão e síndrome do pânico.']",['doenças graves esquizofrenia exigem acompanhamento médico constante tratadas psiquiatria convencional lançar mão ação conjunta homeopatia tido sucesso tratamento depressão síndrome pânico']
